Load,Solar,Wind,,,,
31.27,5.75,2.80,,,,
30.04,4.27,2.92,,,,
30.70,2.27,3.07,,,,
29.96,0.27,3.14,,,,
29.76,0.00,3.14,,,,
32.73,0.00,3.24,,,,
31.76,0.00,3.38,,,,
30.66,0.00,3.58,,,,
29.48,0.00,3.79,,,,
27.40,0.00,4.04,,,,
26.37,0.00,4.28,,,,
25.60,0.00,4.40,,,,
24.84,0.00,4.36,,,,
24.01,0.00,4.19,,,,
24.36,0.00,4.02,,,,
24.01,0.00,3.96,,,,
23.67,0.04,3.98,,,,
23.87,1.89,4.11,,,,
25.69,3.93,4.29,,,,
27.09,5.50,4.54,,,,
28.68,6.55,4.65,,,,
28.89,7.06,4.54,,,,
30.27,7.11,4.24,,,,
28.72,6.66,3.91,,,,
27.80,5.73,3.72,,,,
28.67,4.27,3.76,,,,
28.99,2.27,4.00,,,,
28.37,0.28,4.29,,,,
28.23,0.00,4.62,,,,
31.90,0.00,4.81,,,,
30.79,0.00,4.76,,,,
30.10,0.00,4.59,,,,
29.41,0.00,4.42,,,,
28.65,0.00,4.38,,,,
25.47,0.00,4.51,,,,
24.91,0.00,4.74,,,,
24.01,0.00,4.98,,,,
24.15,0.00,5.15,,,,
23.53,0.00,5.19,,,,
23.32,0.00,4.98,,,,
24.01,0.04,4.64,,,,
23.18,1.82,4.28,,,,
23.90,3.83,3.96,,,,
24.18,5.36,3.63,,,,
24.52,6.43,3.19,,,,
25.42,7.01,2.68,,,,
25.46,7.07,2.17,,,,
25.80,6.55,1.72,,,,
25.65,5.55,1.31,,,,
25.60,3.80,0.99,,,,
24.57,1.99,0.86,,,,
26.30,0.23,0.97,,,,
27.33,0.00,1.25,,,,
30.10,0.00,1.57,,,,
29.76,0.00,1.84,,,,
28.72,0.00,2.04,,,,
27.75,0.00,2.19,,,,
26.37,0.00,2.26,,,,
24.98,0.00,2.21,,,,
24.43,0.00,2.06,,,,
24.57,0.00,1.88,,,,
23.04,0.00,1.94,,,,
23.04,0.00,2.27,,,,
23.25,0.00,2.49,,,,
24.77,0.05,2.54,,,,
25.05,1.94,2.64,,,,
26.57,3.97,2.67,,,,
28.54,5.55,2.60,,,,
30.48,6.60,2.51,,,,
29.20,7.12,2.65,,,,
31.46,7.15,3.06,,,,
31.61,6.70,3.31,,,,
32.59,5.74,3.31,,,,
30.48,4.25,3.26,,,,
30.03,2.26,3.23,,,,
28.37,0.28,3.20,,,,
27.54,0.00,3.27,,,,
31.69,0.00,3.55,,,,
31.00,0.00,4.00,,,,
30.10,0.00,4.49,,,,
28.10,0.00,4.76,,,,
26.02,0.00,4.84,,,,
24.64,0.00,4.88,,,,
24.08,0.00,4.97,,,,
23.60,0.00,5.26,,,,
23.25,0.00,5.65,,,,
22.91,0.00,5.96,,,,
23.25,0.00,6.19,,,,
24.64,0.05,6.38,,,,
25.53,1.88,6.45,,,,
26.43,3.93,6.51,,,,
28.82,5.48,6.58,,,,
28.42,6.49,6.53,,,,
30.65,6.97,6.33,,,,
32.76,6.98,6.04,,,,
30.01,6.54,5.80,,,,
31.02,5.54,5.77,,,,
31.58,4.06,5.91,,,,
30.60,2.08,6.14,,,,
29.20,0.24,6.31,,,,
28.65,0.00,6.44,,,,
32.52,0.00,6.54,,,,
32.11,0.00,6.49,,,,
30.72,0.00,6.34,,,,
29.06,0.00,6.20,,,,
26.99,0.00,6.25,,,,
25.95,0.00,6.34,,,,
24.91,0.00,6.35,,,,
24.43,0.00,6.32,,,,
24.57,0.00,6.33,,,,
24.36,0.00,6.41,,,,
24.22,0.00,6.56,,,,
25.60,0.03,6.78,,,,
26.64,1.19,7.02,,,,
27.20,3.21,7.25,,,,
28.97,5.14,7.44,,,,
29.62,6.06,7.49,,,,
30.03,6.61,7.37,,,,
29.77,6.67,7.08,,,,
30.36,6.13,6.66,,,,
30.47,5.16,6.25,,,,
30.54,4.04,5.98,,,,
30.19,2.19,5.86,,,,
29.62,0.26,5.78,,,,
29.06,0.00,5.81,,,,
32.52,0.00,5.95,,,,
32.11,0.00,6.22,,,,
31.90,0.00,6.49,,,,
29.41,0.00,6.51,,,,
27.54,0.00,6.35,,,,
26.50,0.00,6.14,,,,
25.60,0.00,5.98,,,,
24.77,0.00,5.88,,,,
24.22,0.00,5.89,,,,
24.22,0.00,6.14,,,,
24.36,0.00,6.35,,,,
25.60,0.05,6.44,,,,
25.60,1.78,6.51,,,,
26.92,3.75,6.69,,,,
28.46,5.32,6.81,,,,
30.48,6.47,6.77,,,,
31.84,6.94,6.58,,,,
30.56,7.00,6.26,,,,
30.88,6.40,5.66,,,,
30.31,5.30,4.87,,,,
31.03,4.09,4.21,,,,
30.69,2.20,3.83,,,,
29.22,0.31,3.70,,,,
28.72,0.00,3.78,,,,
31.62,0.00,4.07,,,,
31.00,0.00,4.40,,,,
30.52,0.00,4.64,,,,
29.27,0.00,4.65,,,,
27.68,0.00,4.55,,,,
25.88,0.00,4.37,,,,
24.77,0.00,4.22,,,,
24.08,0.00,4.16,,,,
23.87,0.00,4.16,,,,
23.87,0.00,4.21,,,,
23.87,0.00,4.30,,,,
25.26,0.04,4.46,,,,
26.12,1.34,4.71,,,,
26.28,2.67,4.90,,,,
27.65,3.75,4.74,,,,
29.67,4.57,4.06,,,,
29.09,4.96,3.23,,,,
28.57,4.85,2.26,,,,
28.22,4.18,1.33,,,,
28.72,3.26,0.71,,,,
28.60,2.04,0.46,,,,
27.90,0.83,0.43,,,,
27.16,0.03,0.47,,,,
28.30,0.00,0.50,,,,
30.52,0.00,0.64,,,,
30.10,0.00,1.10,,,,
29.34,0.00,1.76,,,,
28.03,0.00,2.34,,,,
26.78,0.00,2.52,,,,
24.77,0.00,2.61,,,,
24.22,0.00,2.75,,,,
23.74,0.00,3.27,,,,
22.77,0.00,3.97,,,,
22.84,0.00,4.66,,,,
23.18,0.00,4.90,,,,
23.87,0.06,4.68,,,,
23.11,1.92,4.21,,,,
24.36,3.94,3.83,,,,
27.06,5.50,3.58,,,,
27.79,6.57,3.20,,,,
28.71,7.07,3.02,,,,
28.88,7.11,2.97,,,,
28.88,6.69,2.91,,,,
28.79,5.69,2.99,,,,
28.81,4.23,3.07,,,,
28.32,2.28,3.08,,,,
28.89,0.31,3.07,,,,
28.30,0.00,3.11,,,,
31.56,0.00,3.30,,,,
31.00,0.00,3.55,,,,
30.45,0.00,3.78,,,,
28.86,0.00,3.92,,,,
27.47,0.00,3.99,,,,
25.95,0.00,3.96,,,,
25.19,0.00,3.76,,,,
24.15,0.00,3.60,,,,
23.67,0.00,3.57,,,,
23.87,0.00,3.66,,,,
23.87,0.00,3.79,,,,
23.87,0.05,3.86,,,,
23.46,1.68,3.59,,,,
24.50,3.76,3.14,,,,
25.41,5.36,2.88,,,,
19.95,6.42,2.70,,,,
26.21,6.92,2.62,,,,
26.32,6.96,2.62,,,,
26.75,6.54,2.56,,,,
26.57,5.51,2.45,,,,
26.46,3.92,2.34,,,,
26.48,2.03,2.35,,,,
26.41,0.27,2.57,,,,
27.47,0.00,3.00,,,,
30.79,0.00,3.47,,,,
29.76,0.00,3.83,,,,
29.48,0.00,4.13,,,,
27.68,0.00,4.39,,,,
26.37,0.00,4.65,,,,
25.12,0.00,4.75,,,,
24.22,0.00,4.61,,,,
23.46,0.00,4.37,,,,
23.04,0.00,4.21,,,,
23.18,0.00,4.21,,,,
23.18,0.00,3.92,,,,
24.36,0.07,3.50,,,,
25.26,1.93,3.26,,,,
26.64,3.91,3.21,,,,
30.03,5.37,3.26,,,,
29.13,6.54,3.07,,,,
31.35,7.03,2.67,,,,
31.42,7.12,2.36,,,,
30.66,6.71,2.14,,,,
30.86,5.75,1.92,,,,
30.86,4.25,1.86,,,,
30.59,2.26,1.92,,,,
29.34,0.31,1.93,,,,
29.20,0.00,1.80,,,,
32.59,0.00,1.64,,,,
31.76,0.00,1.54,,,,
31.07,0.00,1.56,,,,
29.06,0.00,1.61,,,,
27.13,0.00,1.67,,,,
26.09,0.00,1.71,,,,
24.57,0.00,1.69,,,,
23.87,0.00,1.70,,,,
23.53,0.00,1.76,,,,
23.53,0.00,1.82,,,,
23.39,0.00,1.85,,,,
25.26,0.06,1.90,,,,
25.88,1.81,1.88,,,,
26.85,3.82,1.73,,,,
29.20,5.44,1.49,,,,
30.86,6.50,1.16,,,,
30.72,6.99,0.85,,,,
30.38,7.02,0.61,,,,
30.38,6.43,0.45,,,,
31.14,5.49,0.36,,,,
30.10,4.00,0.31,,,,
29.06,2.12,0.31,,,,
28.37,0.28,0.40,,,,
28.79,0.00,0.57,,,,
32.25,0.00,0.71,,,,
31.28,0.00,0.77,,,,
30.45,0.00,0.75,,,,
28.37,0.00,0.63,,,,
26.71,0.00,0.49,,,,
25.40,0.00,0.38,,,,
24.36,0.00,0.28,,,,
23.53,0.00,0.19,,,,
23.39,0.00,0.12,,,,
22.56,0.00,0.06,,,,
22.84,0.00,0.03,,,,
24.57,0.06,0.01,,,,
25.53,1.82,0.00,,,,
26.02,3.85,0.00,,,,
28.10,5.48,0.00,,,,
29.41,6.59,0.00,,,,
29.89,7.15,0.00,,,,
30.45,7.22,0.00,,,,
30.93,6.79,0.00,,,,
30.45,5.77,0.18,,,,
30.38,4.30,0.27,,,,
30.66,2.32,0.43,,,,
29.06,0.33,0.63,,,,
29.20,0.00,0.72,,,,
32.59,0.00,0.78,,,,
31.97,0.00,0.82,,,,
30.45,0.00,0.78,,,,
29.06,0.00,0.91,,,,
27.33,0.00,1.15,,,,
26.16,0.00,1.82,,,,
24.84,0.00,2.50,,,,
24.01,0.00,3.23,,,,
23.87,0.00,3.67,,,,
23.53,0.00,3.61,,,,
23.53,0.00,3.27,,,,
24.70,0.07,2.84,,,,
26.02,1.93,2.28,,,,
26.92,3.94,1.59,,,,
28.72,5.51,1.00,,,,
29.76,6.47,0.60,,,,
30.17,6.89,0.31,,,,
29.69,6.86,0.14,,,,
29.48,6.39,0.04,,,,
30.31,5.50,0.01,,,,
30.31,4.15,0.01,,,,
29.76,2.29,0.01,,,,
28.10,0.34,0.00,,,,
28.51,0.00,0.00,,,,
31.83,0.00,0.00,,,,
31.69,0.00,0.00,,,,
30.17,0.00,0.00,,,,
28.37,0.00,0.00,,,,
26.64,0.00,0.00,,,,
24.77,0.00,0.01,,,,
23.67,0.00,0.01,,,,
22.84,0.00,0.02,,,,
22.84,0.00,0.04,,,,
22.84,0.00,0.06,,,,
22.84,0.00,0.07,,,,
24.01,0.08,0.10,,,,
24.91,1.99,0.15,,,,
26.09,4.02,0.28,,,,
29.20,5.61,0.51,,,,
30.24,6.67,0.82,,,,
30.66,7.21,1.13,,,,
29.41,7.24,1.44,,,,
30.86,6.78,1.77,,,,
31.62,5.81,2.09,,,,
31.76,4.31,2.25,,,,
30.17,2.33,2.25,,,,
29.20,0.33,2.21,,,,
29.06,0.00,2.14,,,,
32.11,0.00,2.14,,,,
31.62,0.00,2.28,,,,
29.06,0.00,2.58,,,,
28.23,0.00,2.87,,,,
27.13,0.00,3.08,,,,
26.02,0.00,3.16,,,,
25.40,0.00,3.07,,,,
23.87,0.00,2.92,,,,
23.87,0.00,2.98,,,,
23.87,0.00,3.40,,,,
23.87,0.00,3.89,,,,
